"","species","maxwt_all","log_wt","rmax","t_median","t_med_corr","invtemp","invtemp_scaled","depth_median","depth_scaled"
"Callorhinchus_milii","Callorhinchus_milii",14480.6594733366,4.16078834080514,0.491788225130671,14.51,14.51,40.3410450118133,0.0668370074034865,109.5,-0.208017021786968
"Callorhinchus_capensis","Callorhinchus_capensis",5250,3.72015930340596,0.604497153084726,11.751,11.751,40.7317103418317,0.280518646138715,183,-0.0880004726314928
"Chimaera_monstrosa","Chimaera_monstrosa",2500,3.39794000867204,0.272023859260666,9.997,9.997,40.9840295256464,0.418529297555634,812.5,0.939896366734108
"Leucoraja_naevus","Leucoraja_naevus",2280.50088113565,3.35803024437888,0.435848861422131,11.774,11.774,40.7284223445487,0.278720215119626,241,0.00670646411704552
"Leucoraja_erinacea","Leucoraja_erinacea",927.697729571869,2.96740649371549,0.655138624353105,11.919,11.919,40.7077058820784,0.267388962230478,45.5,-0.312521227854321
"Leucoraja_ocellata","Leucoraja_ocellata",11557.0936222586,4.06284863144488,0.30472145609237,11.6345,11.6345,40.7483729209216,0.289632552420889,159,-0.12718954990675
"Amblyraja_radiata","Amblyraja_radiata",11400,4.05690485133647,0.28420575219311,4.27,4.27,41.8300951917605,0.881300585717635,692,0.743134541247921
"Raja_miraletus","Raja_miraletus",1287.18826634777,3.10964207220063,1.39513928191132,14.031,14.031,40.4083313593107,0.103640521544548,261,0.0393640285130932
"Raja_montagui","Raja_montagui",12871.6442731279,4.10963402888833,0.686722213476562,11.846,11.846,40.7181329144907,0.273092220753345,252,0.0246681245348717
"Raja_microocellata","Raja_microocellata",4500,3.65321251377534,0.649457033429956,11.9185,11.9185,40.7077772819452,0.267428015710224,50.5,-0.304356836755309
"Raja_brachyura","Raja_brachyura",14280,4.15472820744016,0.652371229025237,13.6175,13.6175,40.466597533187,0.13551028463853,146,-0.148416966764181
"Raja_asterias","Raja_asterias",3346.82706747085,3.5246332726854,0.883849061458888,14.0825,14.0825,40.4010862562496,0.0996776782207416,172,-0.105962133049319
"Raja_clavata","Raja_clavata",18000,4.25527250510331,0.731301311083488,12.289,12.289,40.6549385616479,0.238526898886573,150.5,-0.14106901477507
"Beringraja_binoculata","Beringraja_binoculata",91000,4.95904139232109,0.814461362454508,7.4255,7.4255,41.3596518872753,0.623982906082042,60.5,-0.288028054557285
"Torpedo_californica","Torpedo_californica",41000,4.61278385671974,0.288542609515227,9.978,9.978,40.9867798596331,0.42003364367542,99.5,-0.224345803984992
"Torpedo_marmorata","Torpedo_marmorata",3000,3.47712125471966,0.127615030386353,16.421,16.421,40.0748176029306,-0.0787810053431389,46,-0.311704788744419
"Torpedo_torpedo","Torpedo_torpedo",2747.17948701653,3.43888703498458,0.263838738989442,14.859,14.859,40.2921610369753,0.0400990118644759,150.5,-0.14106901477507
"Rhinobatos_productus","Rhinobatos_productus",18400,4.26481782300954,0.268414462510244,14.2075,14.2075,40.3835118557831,0.0900650343465672,46.25,-0.311296569189469
"Aetobatus_flagellum","Aetobatus_flagellum",13930,4.14395111642396,0.221585281520882,22.451,22.451,39.2573266264262,-0.525922837720386,100.5,-0.22271292576519
"Myliobatis_californicus","Myliobatis_californicus",82100,4.91434315711944,0.296263794656409,13.9705,13.9705,40.4168459169519,0.108297716565676,54.5,-0.297825323876099
"Manta_birostris","Manta_birostris",3e+06,6.47712125471966,0.0673616,26.503,26.503,38.7264769853738,-0.816280882076983,60.5,-0.288028054557285
"Dasyatis_americana","Dasyatis_americana",135630,5.13235576175396,0.269553302859802,27.6,27.6,38.5852203095535,-0.893543837482179,27,-0.342729474920665
"Pteroplatytrygon_violacea","Pteroplatytrygon_violacea",11491.3586599141,4.0603713797431,0.480791564008549,15.754,15.754,40.16733935182,-0.0281745209632473,119.5,-0.191688239588944
"Notorynchus_cepedianus","Notorynchus_cepedianus",107000,5.02938377768521,0.236439882004782,14.546,14.546,40.3359970527856,0.0640759327075273,68.5,-0.274965028798866
"Deania_calcea","Deania_calcea",7598.26251463454,3.8807142940473,0.0765856812520637,7.499,7.499,41.3488200852246,0.618058251307759,691,0.741501663028119
"Centrophorus_squamosus","Centrophorus_squamosus",30945.8128041794,4.49060189409731,0.0541304941602342,2.4915,2.4915,42.0999922293929,1.02892576988318,1886,2.69279113569197
"Squalus_acanthias","Squalus_acanthias",9100,3.95904139232109,0.147143681243064,8.437,8.437,41.2110822165022,0.542719972625305,300.5,0.103862718195287
"Etmopterus_spinax","Etmopterus_spinax",850,2.92941892571429,0.183380910713332,6.875,6.875,41.4409606574349,0.66845624404226,966,1.19054317347377
"Rhincodon_typus","Rhincodon_typus",3.4e+07,7.53147891704226,0.187519427647805,9.804,9.804,41.0119843087506,0.433819683994329,350.5,0.185506629185407
"Alopias_superciliosus","Alopias_superciliosus",363800,5.56086269472747,0.0929035633401792,9.861,9.861,41.0037242654816,0.429301700323604,362,0.204284728713134
"Carcharias_taurus","Carcharias_taurus",158810,5.20087784574903,0.0633356002298385,20.776,20.776,39.4810428750713,-0.403557091520365,96,-0.2300608777543
"Cetorhinus_maximus","Cetorhinus_maximus",4e+06,6.60205999132796,0.146895563335517,3.861,3.861,41.8918563093098,0.915081972992045,1000.5,1.24687747205696
"Lamna_ditropis","Lamna_ditropis",175000,5.24303804868629,0.218735183800611,3.927,7.427,41.3594307733642,0.623861963732569,325.5,0.144684673690347
"Lamna_nasus","Lamna_nasus",230000,5.36172783601759,0.137446621248261,9.191,12.691,40.5977624207101,0.207253349499547,350.5,0.185506629185407
"Carcharodon_carcharias","Carcharodon_carcharias",1208380,6.08220352861588,0.13957122286281,6.317,9.817,41.0101001463005,0.432789106441006,650.5,0.675370095126122
